Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Dauer bis Druckstabilitaet_s;raw;resp;response
0,000;1,03970;0,00;10,00;;b'0, 1,0397E+00,0, 7,0770E-01,5, 1,0000E+03\r\n';"0, 1,0397E+00,0, 7,0770E-01,5, 1,0000E+03
";0, 1,0397E+00,0, 7,0770E-01,5, 1,0000E+03
1,001;1,03840;0,00;10,00;;b'0, 1,0384E+00,0, 7,0779E-01,5, 1,0000E+03\r\n';"0, 1,0384E+00,0, 7,0779E-01,5, 1,0000E+03
";0, 1,0384E+00,0, 7,0779E-01,5, 1,0000E+03
2,002;1,06560;0,00;10,00;;b'0, 1,0656E+00,0, 7,6016E-01,5, 1,0000E+03\r\n';"0, 1,0656E+00,0, 7,6016E-01,5, 1,0000E+03
";0, 1,0656E+00,0, 7,6016E-01,5, 1,0000E+03
3,003;175,84000;0,00;10,00;;b'0, 1,7584E+02,0, 1,0412E+00,5, 1,0000E+03\r\n';"0, 1,7584E+02,0, 1,0412E+00,5, 1,0000E+03
";0, 1,7584E+02,0, 1,0412E+00,5, 1,0000E+03
4,003;800,40000;0,00;10,00;;b'0, 8,0040E+02,0, 1,1926E+00,5, 1,0000E+03\r\n';"0, 8,0040E+02,0, 1,1926E+00,5, 1,0000E+03
";0, 8,0040E+02,0, 1,1926E+00,5, 1,0000E+03
5,004;943,49000;0,00;10,00;;b'0, 9,4349E+02,0, 1,2733E+00,5, 1,0000E+03\r\n';"0, 9,4349E+02,0, 1,2733E+00,5, 1,0000E+03
";0, 9,4349E+02,0, 1,2733E+00,5, 1,0000E+03
6,006;956,85000;0,00;10,00;;b'0, 9,5685E+02,0, 1,3163E+00,5, 1,0000E+03\r\n';"0, 9,5685E+02,0, 1,3163E+00,5, 1,0000E+03
";0, 9,5685E+02,0, 1,3163E+00,5, 1,0000E+03
7,006;958,05000;0,00;10,00;;b'0, 9,5805E+02,0, 1,3393E+00,5, 1,0000E+03\r\n';"0, 9,5805E+02,0, 1,3393E+00,5, 1,0000E+03
";0, 9,5805E+02,0, 1,3393E+00,5, 1,0000E+03
8,008;958,20000;0,00;10,00;;b'0, 9,5820E+02,0, 1,3515E+00,5, 1,0000E+03\r\n';"0, 9,5820E+02,0, 1,3515E+00,5, 1,0000E+03
";0, 9,5820E+02,0, 1,3515E+00,5, 1,0000E+03
9,009;958,25000;0,00;10,00;;b'0, 9,5825E+02,0, 1,3580E+00,5, 1,0000E+03\r\n';"0, 9,5825E+02,0, 1,3580E+00,5, 1,0000E+03
";0, 9,5825E+02,0, 1,3580E+00,5, 1,0000E+03
10,010;958,29000;0,00;10,00;;b'0, 9,5829E+02,0, 1,3615E+00,5, 1,0000E+03\r\n';"0, 9,5829E+02,0, 1,3615E+00,5, 1,0000E+03
";0, 9,5829E+02,0, 1,3615E+00,5, 1,0000E+03
11,010;958,30000;0,00;10,00;;b'0, 9,5830E+02,0, 1,3633E+00,5, 1,0000E+03\r\n';"0, 9,5830E+02,0, 1,3633E+00,5, 1,0000E+03
";0, 9,5830E+02,0, 1,3633E+00,5, 1,0000E+03
12,011;958,30000;0,00;10,00;;b'0, 9,5830E+02,0, 1,3643E+00,5, 1,0000E+03\r\n';"0, 9,5830E+02,0, 1,3643E+00,5, 1,0000E+03
";0, 9,5830E+02,0, 1,3643E+00,5, 1,0000E+03
13,012;958,31000;0,00;10,00;;b'0, 9,5831E+02,0, 1,3649E+00,5, 1,0000E+03\r\n';"0, 9,5831E+02,0, 1,3649E+00,5, 1,0000E+03
";0, 9,5831E+02,0, 1,3649E+00,5, 1,0000E+03
14,012;958,31000;0,00;10,00;;b'0, 9,5831E+02,0, 1,3651E+00,5, 1,0000E+03\r\n';"0, 9,5831E+02,0, 1,3651E+00,5, 1,0000E+03
";0, 9,5831E+02,0, 1,3651E+00,5, 1,0000E+03
15,013;958,31000;0,00;10,00;;b'0, 9,5831E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5831E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5831E+02,2, 1,3652E+00,5, 1,0000E+03
16,014;958,34000;0,00;10,00;;b'0, 9,5834E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5834E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5834E+02,2, 1,3652E+00,5, 1,0000E+03
17,016;958,34000;0,00;10,00;;b'0, 9,5834E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5834E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5834E+02,2, 1,3652E+00,5, 1,0000E+03
18,016;958,34000;0,00;10,00;;b'0, 9,5834E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5834E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5834E+02,2, 1,3652E+00,5, 1,0000E+03
19,017;958,33000;0,00;10,00;;b'0, 9,5833E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5833E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5833E+02,2, 1,3652E+00,5, 1,0000E+03
20,019;958,35000;0,00;10,00;;b'0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
21,030;958,32000;0,00;10,00;;b'0, 9,5832E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5832E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5832E+02,2, 1,3652E+00,5, 1,0000E+03
22,030;958,35000;0,00;10,00;;b'0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
23,031;958,35000;0,00;10,00;;b'0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
24,031;958,35000;0,00;10,00;;b'0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
25,031;958,35000;0,00;10,00;;b'0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
26,034;958,35000;0,00;10,00;;b'0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
27,035;958,35000;0,00;10,00;;b'0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
28,036;958,35000;0,00;10,00;;b'0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
29,036;958,35000;0,00;10,00;;b'0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
30,037;958,35000;0,00;10,00;;b'0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
31,038;958,35000;0,00;10,00;;b'0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
32,040;958,35000;0,00;10,00;;b'0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 9,5835E+02,2, 1,3652E+00,5, 1,0000E+03
